scraper,category,url_name,url,passed,success,response_time_ms,raw_bytes,markdown_bytes,content_quality_score,error
Anakin,js_heavy,Vercel Homepage,https://vercel.com,True,True,2508.7,520590,3142,1.0,
Anakin,static_html,Quotes to Scrape (test site),https://quotes.toscrape.com,True,True,2883.9,11064,4261,1.0,
Anakin,static_html,Hacker News,https://news.ycombinator.com,True,True,2911.7,34904,14550,1.0,
Anakin,static_html,Wikipedia – Web Scraping,https://en.wikipedia.org/wiki/Web_scraping,True,True,3008.3,168219,59838,0.7,
Anakin,js_heavy,React Docs,https://react.dev,True,True,2238.2,272468,13310,1.0,
Anakin,cloudflare_protected,Cloudflare – About,https://www.cloudflare.com/en-gb/learning/what-is-cloudflare/,True,True,2545.6,424185,6726,1.0,
Anakin,js_heavy,Tailwind CSS Docs,https://tailwindcss.com/docs/installation,True,True,2683.5,365855,3830,1.0,
Anakin,js_heavy,Stripe Docs,https://stripe.com/docs,True,True,6696.2,1241303,3312,1.0,
Anakin,cloudflare_protected,Discord Safety,https://discord.com/safety,True,True,2596.5,88754,2170,1.0,
Anakin,cloudflare_protected,Canva Learn,https://www.canva.com/learn/what-is-graphic-design/,True,True,2790.6,12436,110,0.7,
Anakin,cloudflare_protected,Coinbase – Bitcoin explainer,https://www.coinbase.com/learn/crypto-basics/what-is-bitcoin,True,True,3025.4,472425,27783,1.0,
Anakin,js_heavy,Next.js Docs,https://nextjs.org/docs,True,True,6734.0,777411,4142,1.0,
Anakin,akamai_perimeter_protected,Target – AirPods Pro,https://www.target.com/p/apple-airpods-pro-2nd-generation/-/A-85978612,False,False,6203.3,9280,67,0.0,
Anakin,ecommerce,Amazon – Echo Dot (5th Gen),https://www.amazon.com/dp/B0BDHWDR12,True,True,6485.6,1486107,42236,0.7,
Anakin,akamai_perimeter_protected,Best Buy – AirPods Pro,https://www.bestbuy.com/site/apple-airpods-pro-2nd-generation/4900964.p,False,False,24010.2,0,0,0.0,"HTTPSConnectionPool(host='api.anakin.io', port=443): Max retries exceeded with url: /v1/url-scraper/10b35a2e-acb7-4d1d-b7bd-1b601a41306e (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))"
Anakin,cloudflare_protected,Glassdoor Blog,https://www.glassdoor.com/blog/guide/how-to-write-a-resume/,True,True,26779.2,621785,24077,1.0,
Anakin,static_html,HTTPBin HTML,https://httpbin.org/html,False,False,36588.9,0,0,0.0,polling timeout
Anakin,news_media,TechCrunch,https://techcrunch.com/2025/01/01/the-best-tech-of-2024/,True,True,3638.7,211473,5495,1.0,
Anakin,ecommerce,Walmart – AirPods Pro,https://www.walmart.com/ip/Apple-AirPods-Pro-2nd-Generation/2125259679,False,False,6551.3,3472,84,0.0,
Anakin,news_media,Ars Technica,https://arstechnica.com,True,True,2648.6,351145,31329,0.7,
Firecrawl,static_html,Wikipedia – Web Scraping,https://en.wikipedia.org/wiki/Web_scraping,True,True,2522.1,165924,50384,1.0,
Anakin,news_media,BBC Tech,https://www.bbc.com/news/technology,True,True,4655.2,526906,21282,0.7,
Firecrawl,static_html,Hacker News,https://news.ycombinator.com,True,True,1996.2,40227,15374,1.0,
Anakin,ecommerce,Etsy – Listing,https://www.etsy.com/listing/1837820578,False,False,27215.5,485100,51,0.0,
